job_id,title,company,level,employment_type,remote_policy,pay_usd_min,pay_usd_max,location_city,location_state,office_lat,office_lon,days_in_office_per_week,one_way_commute_miles,weekly_commute_miles,skills,manual_match,job_score,score_pay,score_commute,score_match,source_url,date_posted,date_added,raw_data_path,notes
eea5f1c8003e,Senior Data Analyst,BeaverBite Analytics,senior,full_time,remote,135000.0,155000.0,Remote,,,,0.0,0.0,0.0,"Python, SQL, Tableau, pandas, A/B testing",9,92.9,0.91,1.0,0.9,,,2026-08-21,,
be0548631070,Food Data Scientist,Frosty Fork Labs,mid,full_time,hybrid,125000.0,145000.0,Louisville,KY,,,2.0,45.0,180.0,"Python, scikit-learn, SQL, food science domain",8,62.0,0.85,0.0,0.8,,,2026-08-21,,
2468e3d97b5a,Analytics Engineer,Maple & Metric,senior,full_time,remote,140000.0,165000.0,Remote,,,,0.0,0.0,0.0,"dbt, Snowflake, Python, Looker",9,94.7,0.955,1.0,0.9,,,2026-08-21,,
e48ef401e3db,Business Intelligence Analyst,Creekside Consumer Co,mid,full_time,hybrid,105000.0,125000.0,Lexington,KY,,,3.0,55.0,330.0,"SQL, Power BI, Excel, Python",7,53.7,0.73,0.0,0.7,,,2026-08-21,,
54fec7c65bb7,Junior Data Analyst,Pawprint Pet Foods,junior,full_time,remote,85000.0,100000.0,Remote,,,,0.0,0.0,0.0,"SQL, Tableau, Excel",6,66.2,0.505,1.0,0.6,,,2026-08-21,,
552ff238bbfd,Data Analyst,Bluegrass Brewing Data,mid,full_time,onsite,95000.0,115000.0,Frankfort,KY,,,5.0,70.0,700.0,"SQL, Python, Excel",5,40.4,0.573,0.0,0.5,,,2026-08-21,,
e35cedb37a30,Marketing Data Analyst,Frozen Falls Marketing,mid,full_time,hybrid,100000.0,120000.0,Hazard,KY,,,2.0,90.0,360.0,"Google Analytics, SQL, Python",6,45.0,0.6,0.0,0.6,,,2026-08-21,,
072ec23af148,Analytics Specialist,Summit Snack Co,junior,full_time,onsite,97000.0,113000.0,Somewhere KY,KY,,,3.0,49.0,294.0,"Python, SQL, pandas",9,54.4,0.573,0.0,0.9,,,2026-08-21,,
198e68c35422,Analytics Specialist,Lumen Food Tech,junior,full_time,onsite,126000.0,129000.0,Somewhere KY,KY,,,2.0,71.0,284.0,"Python, SQL, pandas",7,56.7,0.805,0.0,0.7,,,2026-08-21,,
a1264d580d83,BI Developer,Lumen Food Tech,senior,full_time,remote,129000.0,145000.0,Remote,,,,0.0,0.0,0.0,"Python, SQL, pandas",9,91.0,0.862,1.0,0.9,,,2026-08-21,,
24cb114714f4,Analytics Specialist,Oak & Open Data,mid,full_time,hybrid,118000.0,124000.0,Somewhere KY,KY,,,3.0,56.0,336.0,"Python, SQL, pandas",9,62.1,0.766,0.0,0.9,,,2026-08-21,,
a81f877b5384,Analytics Specialist,Cloudberry Insights,senior,full_time,remote,123000.0,117000.0,Remote,,,,0.0,0.0,0.0,"Python, SQL, pandas",5,72.9,0.76,1.0,0.5,,,2026-08-21,,
b56fad96d900,Data Analyst,Lumen Food Tech,senior,full_time,remote,105000.0,158000.0,Remote,,,,0.0,0.0,0.0,"Python, SQL, pandas",8,86.2,0.829,1.0,0.8,,,2026-08-21,,
22a7b319a315,Data Analyst,Cloudberry Insights,senior,full_time,remote,95000.0,121000.0,Remote,,,,0.0,0.0,0.0,"Python, SQL, pandas",5,66.1,0.589,1.0,0.5,,,2026-08-21,,
2d5a4b695f60,BI Developer,Oak & Open Data,mid,full_time,remote,102000.0,127000.0,Remote,,,,0.0,0.0,0.0,"Python, SQL, pandas",7,78.6,0.727,1.0,0.7,,,2026-08-21,,
667a6b51b05e,BI Developer,Oak & Open Data,junior,full_time,remote,115000.0,160000.0,Remote,,,,0.0,0.0,0.0,"Python, SQL, pandas",9,91.1,0.865,1.0,0.9,,,2026-08-21,,
115951b80837,BI Developer,Summit Snack Co,mid,full_time,hybrid,121000.0,133000.0,Somewhere KY,KY,,,5.0,38.0,380.0,"Python, SQL, pandas",5,49.6,0.802,0.0,0.5,,,2026-08-21,,
877b32314f38,Analytics Specialist,Oak & Open Data,mid,full_time,remote,92000.0,153000.0,Remote,,,,0.0,0.0,0.0,"Python, SQL, pandas",7,80.5,0.775,1.0,0.7,,,2026-08-21,,
217ad354016b,Analytics Specialist,Oak & Open Data,mid,full_time,onsite,130000.0,158000.0,Somewhere KY,KY,,,2.0,40.0,160.0,"Python, SQL, pandas",6,57.2,0.904,0.0,0.6,,,2026-08-21,,
